Name,Author,UR,CR,AR,Year
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,4,4.45,2012
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,4,4.45,2011
Obama: An Intimate Portrait,Pete Souza,4.9,4,4.45,2017
The Very Hungry Caterpillar,Eric Carle,4.9,4,4.45,2015
The Very Hungry Caterpillar,Eric Carle,4.9,4,4.45,2016
The Very Hungry Caterpillar,Eric Carle,4.9,4,4.45,2018
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,4,4.45,2018
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,3,3.95,2018
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,3,3.95,2018
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,3,3.95,2019
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,3,3.95,2018
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,3,3.95,2016
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,3,3.95,2019
Humans of New York : Stories,Brandon Stanton,4.9,3,3.95,2015
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,3,3.95,2015
Little Blue Truck,Alice Schertle,4.9,3,3.95,2014
"Oh, the Places You'll Go!",Dr. Seuss,4.9,3,3.95,2012
"Oh, the Places You'll Go!",Dr. Seuss,4.9,3,3.95,2016
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,3,3.95,2019
The Very Hungry Caterpillar,Eric Carle,4.9,3,3.95,2013
The Very Hungry Caterpillar,Eric Carle,4.9,3,3.95,2019
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,3,3.95,2016
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,3,3.95,2017
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,2,3.45,2017
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,2,3.45,2017
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,2,3.45,2013
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,2,3.45,2016
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,2,3.45,2012
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,2,3.45,2014
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,2,3.45,2016
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,2,3.45,2018
"Oh, the Places You'll Go!",Dr. Seuss,4.9,2,3.45,2014
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,2,3.45,2014
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,2,3.45,2013
The Magnolia Story,Chip Gaines,4.9,2,3.45,2016
The Very Hungry Caterpillar,Eric Carle,4.9,2,3.45,2017
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,2,3.45,2019
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,1,2.95,2019
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,1,2.95,2019
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,1,2.95,2019
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,1,2.95,2017
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,1,2.95,2016
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,1,2.95,2013
"Oh, the Places You'll Go!",Dr. Seuss,4.9,1,2.95,2013
"Oh, the Places You'll Go!",Dr. Seuss,4.9,1,2.95,2015
"Oh, the Places You'll Go!",Dr. Seuss,4.9,1,2.95,2017
"Oh, the Places You'll Go!",Dr. Seuss,4.9,1,2.95,2018
"Oh, the Places You'll Go!",Dr. Seuss,4.9,1,2.95,2019
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,1,2.95,2013
The Very Hungry Caterpillar,Eric Carle,4.9,1,2.95,2014
Unfreedom of the Press,Mark R. Levin,4.9,1,2.95,2019
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,1,2.95,2019
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4,4.4,2015
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,4,4.4,2017
Go the F**k to Sleep,Adam Mansbach,4.8,4,4.4,2011
Goodnight Moon,Margaret Wise Brown,4.8,4,4.4,2017
Guts,Raina Telgemeier,4.8,4,4.4,2019
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,4,4.4,2019
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,4,4.4,2019
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,4,4.4,2016
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,4,4.4,2018
Love You Forever,Robert Munsch,4.8,4,4.4,2014
Love You Forever,Robert Munsch,4.8,4,4.4,2015
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,4,4.4,2018
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,4,4.4,2015
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,4,4.4,2010
The 5000 Year Leap,W. Cleon Skousen,4.8,4,4.4,2009
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,4,4.4,2014
The Constitution of the United States,Delegates of the Constitutional,4.8,4,4.4,2016
The Day the Crayons Quit,Drew Daywalt,4.8,4,4.4,2015
The Going-To-Bed Book,Sandra Boynton,4.8,4,4.4,2016
The Help,Kathryn Stockett,4.8,4,4.4,2010
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,4,4.4,2012
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4,4.4,2009
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4,4.4,2010
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,4,4.4,2018
The Nightingale: A Novel,Kristin Hannah,4.8,4,4.4,2015
The Pout-Pout Fish,Deborah Diesen,4.8,4,4.4,2018
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,4,4.4,2012
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4,4.4,2011
To Kill a Mockingbird,Harper Lee,4.8,4,4.4,2015
To Kill a Mockingbird,Harper Lee,4.8,4,4.4,2016
To Kill a Mockingbird,Harper Lee,4.8,4,4.4,2019
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,4,4.4,2010
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,4,4.4,2014
Watchmen,Alan Moore,4.8,4,4.4,2009
Where the Wild Things Are,Maurice Sendak,4.8,4,4.4,2009
Alexander Hamilton,Ron Chernow,4.8,3,3.9,2016
Becoming,Michelle Obama,4.8,3,3.9,2018
Becoming,Michelle Obama,4.8,3,3.9,2019
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3,3.9,2015
Giraffes Can't Dance,Giles Andreae,4.8,3,3.9,2015
Giraffes Can't Dance,Giles Andreae,4.8,3,3.9,2017
Goodnight Moon,Margaret Wise Brown,4.8,3,3.9,2018
Have a Little Faith: A True Story,Mitch Albom,4.8,3,3.9,2009
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3,3.9,2018
Humans of New York,Brandon Stanton,4.8,3,3.9,2013
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,3,3.9,2019
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,3,3.9,2019
The Book with No Pictures,B. J. Novak,4.8,3,3.9,2015
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,3,3.9,2015
The Getaway,Jeff Kinney,4.8,3,3.9,2017
The Help,Kathryn Stockett,4.8,3,3.9,2009
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,3,3.9,2013
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,3,3.9,2011
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,3,3.9,2012
The Pout-Pout Fish,Deborah Diesen,4.8,3,3.9,2017
The Wonky Donkey,Craig Smith,4.8,3,3.9,2018
The Wonky Donkey,Craig Smith,4.8,3,3.9,2019
To Kill a Mockingbird,Harper Lee,4.8,3,3.9,2014
Where the Crawdads Sing,Delia Owens,4.8,3,3.9,2019
Wonder,R. J. Palacio,4.8,3,3.9,2015
Wonder,R. J. Palacio,4.8,3,3.9,2016
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,2,3.4,2019
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,2,3.4,2012
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,2,3.4,2019
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,2,3.4,2016
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,2,3.4,2013
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,2,3.4,2009
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,2,3.4,2009
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,2,3.4,2016
Giraffes Can't Dance,Giles Andreae,4.8,2,3.4,2016
Giraffes Can't Dance,Giles Andreae,4.8,2,3.4,2018
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,2,3.4,2013
Humans of New York,Brandon Stanton,4.8,2,3.4,2014
If Animals Kissed Good Night,Ann Whitford Paul,4.8,2,3.4,2017
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,2,3.4,2009
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,2,3.4,2017
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,2,3.4,2018
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,2,3.4,2017
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,2,3.4,2018
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,2,3.4,2019
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,2,3.4,2018
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,2,3.4,2019
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,2,3.4,2014
The Day the Crayons Quit,Drew Daywalt,4.8,2,3.4,2014
The Help,Kathryn Stockett,4.8,2,3.4,2011
The Help,Kathryn Stockett,4.8,2,3.4,2011
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,2,3.4,2012
The Nightingale: A Novel,Kristin Hannah,4.8,2,3.4,2016
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,2,3.4,2015
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,2,3.4,2010
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2,3.4,2010
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,2,3.4,2011
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,2,3.4,2012
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,2,3.4,2014
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,2,3.4,2019
Wonder,R. J. Palacio,4.8,2,3.4,2013
Wonder,R. J. Palacio,4.8,2,3.4,2014
Wonder,R. J. Palacio,4.8,2,3.4,2017
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,1,2.9,2015
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,1,2.9,2011
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1,2.9,2013
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,1,2.9,2015
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,1,2.9,2018
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,1,2.9,2014
Giraffes Can't Dance,Giles Andreae,4.8,1,2.9,2019
Goodnight Moon,Margaret Wise Brown,4.8,1,2.9,2019
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,1,2.9,2016
If Animals Kissed Good Night,Ann Whitford Paul,4.8,1,2.9,2019
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,1,2.9,2009
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,1,2.9,2019
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,1,2.9,2019
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,1,2.9,2018
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,1,2.9,2019
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2015
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2016
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2017
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,1,2.9,2018
The Book with No Pictures,B. J. Novak,4.8,1,2.9,2014
The Day the Crayons Quit,Drew Daywalt,4.8,1,2.9,2013
The Going-To-Bed Book,Sandra Boynton,4.8,1,2.9,2017
The Hate U Give,Angie Thomas,4.8,1,2.9,2018
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,1,2.9,2010
The Love Dare,Stephen Kendrick,4.8,1,2.9,2009
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,1,2.9,2013
To Kill a Mockingbird,Harper Lee,4.8,1,2.9,2013
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,1,2.9,2019
When Breath Becomes Air,Paul Kalanithi,4.8,1,2.9,2016
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,4,4.35,2017
Catching Fire (The Hunger Games),Suzanne Collins,4.7,4,4.35,2011
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4,4.35,2016
Doctor Sleep: A Novel,Stephen King,4.7,4,4.35,2013
Educated: A Memoir,Tara Westover,4.7,4,4.35,2019
First 100 Words,Roger Priddy,4.7,4,4.35,2014
First 100 Words,Roger Priddy,4.7,4,4.35,2015
First 100 Words,Roger Priddy,4.7,4,4.35,2017
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,4,4.35,2011
Milk and Honey,Rupi Kaur,4.7,4,4.35,2018
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,4,4.35,2016
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,4,4.35,2010
The Alchemist,Paulo Coelho,4.7,4,4.35,2014
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,4,4.35,2010
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,4,4.35,2009
The Fault in Our Stars,John Green,4.7,4,4.35,2012
The Fault in Our Stars,John Green,4.7,4,4.35,2014
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,4,4.35,2009
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,4,4.35,2009
The Hunger Games (Book 1),Suzanne Collins,4.7,4,4.35,2011
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,4,4.35,2012
The Wright Brothers,David McCullough,4.7,4,4.35,2015
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,4,4.35,2015
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,4,4.35,2016
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,4,4.35,2018
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,4,4.35,2019
Between the World and Me,Ta-Nehisi Coates,4.7,3,3.85,2015
Between the World and Me,Ta-Nehisi Coates,4.7,3,3.85,2016
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,3,3.85,2010
Eclipse (Twilight),Stephenie Meyer,4.7,3,3.85,2009
Educated: A Memoir,Tara Westover,4.7,3,3.85,2018
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,3,3.85,2016
First 100 Words,Roger Priddy,4.7,3,3.85,2016
Harry Potter Coloring Book,Scholastic,4.7,3,3.85,2015
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,3,3.85,2012
How to Win Friends & Influence People,Dale Carnegie,4.7,3,3.85,2014
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,3,3.85,2013
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,3,3.85,2017
Milk and Honey,Rupi Kaur,4.7,3,3.85,2016
Milk and Honey,Rupi Kaur,4.7,3,3.85,2017
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,3,3.85,2010
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,3,3.85,2010
The Fault in Our Stars,John Green,4.7,3,3.85,2014
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,3,3.85,2015
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,3,3.85,2017
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,3,3.85,2019
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,3,3.85,2011
The Hunger Games (Book 1),Suzanne Collins,4.7,3,3.85,2012
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,3,3.85,2010
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,3,3.85,2012
The Last Lecture,Randy Pausch,4.7,3,3.85,2009
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,3,3.85,2019
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,3,3.85,2019
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,2,3.35,2014
A Gentleman in Moscow: A Novel,Amor Towles,4.7,2,3.35,2017
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,2,3.35,2018
Born to Run,Bruce Springsteen,4.7,2,3.35,2016
How to Win Friends & Influence People,Dale Carnegie,4.7,2,3.35,2015
How to Win Friends & Influence People,Dale Carnegie,4.7,2,3.35,2016
How to Win Friends & Influence People,Dale Carnegie,4.7,2,3.35,2017
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,2,3.35,2012
Night (Night),Elie Wiesel,4.7,2,3.35,2016
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,2,3.35,2018
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,2,3.35,2019
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,2,3.35,2011
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,2,3.35,2015
Sh*t My Dad Says,Justin Halpern,4.7,2,3.35,2010
Sookie Stackhouse,Charlaine Harris,4.7,2,3.35,2009
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,2,3.35,2014
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,2,3.35,2015
The Fault in Our Stars,John Green,4.7,2,3.35,2013
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,2,3.35,2010
The Sun and Her Flowers,Rupi Kaur,4.7,2,3.35,2017
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,2,3.35,2011
The Twilight Saga Collection,Stephenie Meyer,4.7,2,3.35,2009
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,2,3.35,2014
10-Day Green Smoothie Cleanse,JJ Smith,4.7,1,2.85,2016
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,1,2.85,2018
1984 (Signet Classics),George Orwell,4.7,1,2.85,2017
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,1,2.85,2010
Catching Fire (The Hunger Games),Suzanne Collins,4.7,1,2.85,2010
Catching Fire (The Hunger Games),Suzanne Collins,4.7,1,2.85,2012
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1,2.85,2009
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1,2.85,2011
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,1,2.85,2009
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,1,2.85,2015
First 100 Words,Roger Priddy,4.7,1,2.85,2018
Frozen (Little Golden Book),RH Disney,4.7,1,2.85,2014
How to Win Friends & Influence People,Dale Carnegie,4.7,1,2.85,2018
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,1,2.85,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,1,2.85,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,1,2.85,2012
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,1,2.85,2013
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,1,2.85,2016
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,1,2.85,2017
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,1,2.85,2011
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,1,2.85,2011
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,1,2.85,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,1,2.85,2016
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,1,2.85,2018
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,1,2.85,2010
The Hunger Games,Suzanne Collins,4.7,1,2.85,2010
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,1,2.85,2011
The Martian,Andy Weir,4.7,1,2.85,2015
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,1,2.85,2013
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,1,2.85,2009
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,1,2.85,2016
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,1,2.85,2017
A Man Called Ove: A Novel,Fredrik Backman,4.6,4,4.3,2016
